ChampionRank,Team,Group,GroupWinnerProbability,GroupRunnerUpProbability,BestThirdQualificationProbability,RoundOf32Probability,RoundOf16Probability,QuarterFinalProbability,SemiFinalProbability,FinalProbability,ChampionProbability,Champion95CILower,Champion95CIUpper,RunnerUpProbability,ThirdPlaceProbability,FourthPlaceProbability,AverageGroupRank,AverageGroupPoints,AverageGroupGoalsFor,AverageGroupGoalsAgainst,AverageGroupGoalDifference
11,Germany,E,39.09,38.41,17.54,95.04,61.19,31.19,16.18,6.63,2.53,2.222211906896969,2.837788093103031,4.1,4.53,5.02,1.8575,5.863,6.3399,3.0084,3.3315
12,Belgium,G,50.4,29.9,13.45,93.75,61.73,32.33,13.34,6.78,2.51,2.2033994233795378,2.8166005766204627,4.27,3.41,3.15,1.7326,6.0192,5.8678,2.7819,3.0859
13,Japan,F,44.83,34.56,11.78,91.17,46.7,28.43,14.0,5.64,2.15,1.865713840646436,2.434286159353564,3.49,3.99,4.37,1.8168,5.7199,4.8844,2.5187,2.3657
14,Netherlands,F,43.46,35.04,12.26,90.76,45.6,26.89,13.24,5.24,2.0,1.7256,2.2744,3.24,3.57,4.43,1.8439,5.6796,5.021,2.6823,2.3387
15,Uruguay,H,20.19,58.6,11.99,90.78,30.3,15.76,7.12,2.92,0.92,0.7328701868327764,1.1071298131672236,2.0,1.94,2.26,2.0569,5.2801,4.9717,3.1408,1.8309
16,IR Iran,G,31.71,36.14,19.61,87.46,47.73,20.07,7.2,2.9,0.82,0.6432436399560119,0.9967563600439884,2.08,1.81,2.49,2.0828,5.1331,4.776,3.1693,1.6067
17,Türkiye,D,34.87,26.89,17.14,78.9,43.95,18.39,6.77,2.71,0.82,0.6432436399560119,0.9967563600439884,1.89,1.75,2.31,2.1973,4.7419,4.1512,3.236,0.9152
18,Canada,B,57.29,31.46,7.59,96.34,59.37,27.9,8.11,2.83,0.76,0.5897817013831944,0.9302182986168056,2.07,2.04,3.24,1.5621,6.4576,5.4518,1.9042,3.5476
19,Switzerland,B,35.8,43.89,12.19,91.88,51.95,20.91,7.2,2.63,0.68,0.518924724380183,0.8410752756198169,1.95,1.65,2.92,1.8945,5.5762,4.9711,2.6597,2.3114
20,Algeria,J,11.55,43.33,23.16,78.04,29.95,14.75,6.13,2.35,0.57,0.4224455815097359,0.7175544184902641,1.78,1.62,2.16,2.4514,4.2732,4.0272,3.8854,0.1418
21,Paraguay,D,26.39,26.62,18.42,71.43,35.39,12.84,4.26,1.55,0.57,0.4224455815097359,0.7175544184902641,0.98,0.91,1.8,2.4314,4.2313,3.8095,3.6282,0.1813
22,Croatia,L,31.25,42.17,16.85,90.27,40.28,13.97,5.43,1.78,0.48,0.3445335113911931,0.6154664886088068,1.3,1.32,2.33,2.0091,5.356,5.1959,3.1795,2.0164
23,Norway,I,17.18,29.85,22.4,69.43,30.67,11.83,4.16,1.35,0.42,0.2932445102727302,0.5467554897272697,0.93,0.77,2.04,2.5766,3.954,3.627,3.9222,-0.2952
24,Senegal,I,18.78,29.56,21.01,69.35,31.87,12.64,4.37,1.3,0.35,0.2342479356555573,0.4657520643444427,0.95,0.98,2.09,2.5474,3.9952,3.7157,3.9108,-0.1951
25,Korea Republic,A,17.29,40.62,20.84,78.75,38.17,14.48,4.9,1.27,0.33,0.21759250480506204,0.44240749519493794,0.94,1.21,2.42,2.384,4.385,3.9531,3.5474,0.4057
26,Austria,J,8.29,33.22,27.98,69.49,24.34,10.43,3.61,1.33,0.32,0.20930319780589868,0.4306968021941014,1.01,0.79,1.49,2.6747,3.75,3.6232,4.3736,-0.7504
27,Egypt,G,16.41,27.77,29.3,73.48,31.48,9.64,2.59,0.83,0.21,0.1202758753511632,0.2997241246488368,0.62,0.57,1.19,2.5532,4.0714,3.7048,3.7446,-0.0398
28,Australia,D,20.19,23.94,19.64,63.77,27.68,8.61,2.49,0.84,0.19,0.10464678199388144,0.27535321800611856,0.65,0.55,1.1,2.6525,3.7827,3.4727,3.9141,-0.4414
29,Côte d'Ivoire,E,11.79,25.55,40.1,77.44,29.11,9.56,2.69,0.61,0.14,0.06671486873860427,0.2132851312613957,0.47,0.38,1.7,2.6028,4.0422,4.3221,4.3429,-0.0208
30,United States,D,18.55,22.55,20.3,61.4,26.0,7.49,2.2,0.67,0.12,0.05214435840698283,0.18785564159301713,0.55,0.55,0.98,2.7188,3.6349,3.5015,4.1566,-0.6551
31,Uzbekistan,K,5.58,15.28,21.67,42.53,15.08,3.64,0.96,0.17,0.06,0.012004406202235604,0.1079955937977644,0.11,0.18,0.61,3.1581,2.6206,2.7093,5.1643,-2.455
32,Scotland,C,5.88,17.02,25.97,48.87,13.55,4.16,1.1,0.24,0.05,0.006184025744028005,0.09381597425597199,0.19,0.23,0.63,3.0558,2.8609,3.1104,5.2755,-2.1651
33,Congo DR,K,5.12,13.56,19.99,38.67,12.98,2.81,0.72,0.13,0.04,0.0008078407841568419,0.07919215921584316,0.09,0.16,0.43,3.2326,2.4475,2.466,5.069,-2.603
34,Czechia,A,9.96,27.47,24.76,62.19,22.44,6.34,1.67,0.32,0.03,0.0,0.06394310321700122,0.29,0.23,1.12,2.7745,3.4974,3.5049,4.5677,-1.0628
35,Panama,L,8.77,21.62,31.37,61.76,13.35,2.97,0.61,0.14,0.03,0.0,0.06394310321700122,0.11,0.11,0.36,2.837,3.3936,3.6601,4.8906,-1.2305
36,Iraq,I,5.7,14.88,17.12,37.7,11.06,2.9,0.71,0.17,0.02,0.0,0.047715813825323625,0.15,0.13,0.41,3.256,2.4179,2.5261,5.12,-2.5939
37,Haiti,C,2.96,10.28,16.53,29.77,5.89,1.41,0.28,0.06,0.01,0.0,0.029599019975498776,0.05,0.04,0.18,3.4017,2.0286,2.4307,5.9255,-3.4948
38,New Zealand,G,1.48,6.19,10.22,17.89,3.05,0.4,0.08,0.03,0.01,0.0,0.029599019975498776,0.02,0.0,0.05,3.6314,1.4796,2.0857,6.7385,-4.6528
39,Sweden,F,5.71,15.52,22.02,43.25,9.83,2.39,0.36,0.04,0.0,0.0,0.0,0.04,0.02,0.3,3.1627,2.6225,2.8315,5.2169,-2.3854
40,South Africa,A,2.93,11.16,14.38,28.47,6.09,1.07,0.17,0.04,0.0,0.0,0.0,0.04,0.01,0.12,3.4237,1.9655,2.2132,5.6911,-3.4779
41,Saudi Arabia,H,1.54,11.6,19.91,33.05,4.54,0.81,0.15,0.04,0.0,0.0,0.0,0.04,0.0,0.11,3.2983,2.1687,2.5223,6.2057,-3.6834
42,Tunisia,F,6.0,14.88,21.31,42.19,8.96,2.16,0.42,0.03,0.0,0.0,0.0,0.03,0.04,0.35,3.1766,2.5856,2.5921,4.9111,-2.319
43,Bosnia and Herzegovina,B,4.5,16.48,26.49,47.47,11.12,2.19,0.18,0.02,0.0,0.0,0.0,0.02,0.03,0.13,3.0822,2.7893,2.5567,4.6723,-2.1156
44,Cabo Verde,H,1.4,10.21,16.99,28.6,3.3,0.53,0.08,0.0,0.0,0.0,0.0,0.0,0.04,0.04,3.3726,2.0121,2.4287,6.5016,-4.0729
45,Qatar,B,2.41,8.17,14.56,25.14,3.94,0.39,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,3.4612,1.8546,1.9751,5.7185,-3.7434
46,Jordan,J,0.8,7.31,8.98,17.09,2.54,0.57,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.04,3.6169,1.4187,2.1704,7.4824,-5.312
47,Curaçao,E,0.31,1.79,4.21,6.31,0.59,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.841,0.8081,1.8226,8.8382,-7.0156
48,Ghana,L,1.35,6.72,10.82,18.89,1.91,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6003,1.51,2.1946,6.8704,-4.6758
