TeamA,TeamB,FinalCount,FinalMatchupProbability
Brazil,Norway,10,0.1
Netherlands,Switzerland,10,0.1
Algeria,England,10,0.1
Ecuador,IR Iran,10,0.1
Argentina,Côte d'Ivoire,10,0.1
Spain,United States,9,0.09
Canada,England,9,0.09
Algeria,France,9,0.09
Paraguay,Portugal,9,0.09
Canada,Netherlands,9,0.09
Morocco,Uruguay,9,0.09
Morocco,Switzerland,9,0.09
England,Switzerland,9,0.09
Austria,Brazil,9,0.09
Argentina,Czechia,9,0.09
Belgium,Switzerland,9,0.09
IR Iran,Japan,9,0.09
Canada,Switzerland,9,0.09
Austria,England,9,0.09
Mexico,Paraguay,9,0.09
Colombia,Egypt,8,0.08
England,Paraguay,8,0.08
Brazil,Senegal,8,0.08
Türkiye,Uruguay,8,0.08
Germany,Switzerland,8,0.08
Austria,Mexico,8,0.08
Ecuador,Uruguay,8,0.08
Colombia,Korea Republic,8,0.08
Croatia,Morocco,8,0.08
Brazil,United States,8,0.08
Belgium,Croatia,8,0.08
Brazil,Paraguay,8,0.08
France,Norway,8,0.08
Netherlands,Türkiye,8,0.08
Argentina,Scotland,8,0.08
Côte d'Ivoire,Spain,8,0.08
Colombia,Switzerland,8,0.08
Belgium,Egypt,8,0.08
Algeria,Japan,7,0.07
Norway,Portugal,7,0.07
Austria,Portugal,7,0.07
Colombia,United States,7,0.07
Colombia,Paraguay,7,0.07
England,Korea Republic,7,0.07
Canada,Japan,7,0.07
Japan,Uruguay,7,0.07
Portugal,Senegal,7,0.07
Algeria,Belgium,7,0.07
Côte d'Ivoire,Ecuador,7,0.07
IR Iran,Uruguay,7,0.07
Canada,Morocco,7,0.07
Colombia,Norway,7,0.07
Japan,Switzerland,7,0.07
Belgium,Türkiye,7,0.07
Ecuador,Paraguay,7,0.07
Belgium,Paraguay,6,0.06
IR Iran,Morocco,6,0.06
Egypt,France,6,0.06
England,Uruguay,6,0.06
Netherlands,Uruguay,6,0.06
Algeria,Germany,6,0.06
Colombia,Croatia,6,0.06
Netherlands,Senegal,6,0.06
Colombia,Senegal,6,0.06
Austria,Colombia,6,0.06
Morocco,Türkiye,6,0.06
Korea Republic,Morocco,6,0.06
Ecuador,Norway,6,0.06
Netherlands,Norway,6,0.06
Mexico,Norway,6,0.06
England,Türkiye,5,0.05
Czechia,Ecuador,5,0.05
Algeria,Uruguay,5,0.05
Croatia,Ecuador,5,0.05
Ecuador,Senegal,5,0.05
Mexico,Senegal,5,0.05
Morocco,Paraguay,5,0.05
Morocco,Norway,5,0.05
Algeria,Netherlands,5,0.05
Germany,IR Iran,5,0.05
Croatia,Germany,5,0.05
Australia,Belgium,5,0.05
Colombia,Côte d'Ivoire,5,0.05
Australia,Portugal,5,0.05
France,Korea Republic,5,0.05
Canada,Türkiye,5,0.05
Croatia,England,5,0.05
Côte d'Ivoire,France,5,0.05
Australia,Mexico,5,0.05
Belgium,Korea Republic,5,0.05
Algeria,Morocco,5,0.05
Senegal,Türkiye,5,0.05
Australia,Colombia,5,0.05
Germany,Türkiye,5,0.05
Croatia,Mexico,4,0.04
Algeria,IR Iran,4,0.04
Argentina,Uzbekistan,4,0.04
France,Paraguay,4,0.04
Ecuador,Türkiye,4,0.04
Japan,Senegal,4,0.04
Ecuador,Egypt,4,0.04
Croatia,Netherlands,4,0.04
Germany,Uruguay,4,0.04
Germany,Senegal,4,0.04
Algeria,Mexico,4,0.04
Paraguay,Uruguay,4,0.04
Australia,Brazil,4,0.04
Croatia,Switzerland,4,0.04
IR Iran,Switzerland,4,0.04
Egypt,England,4,0.04
Korea Republic,Mexico,4,0.04
Austria,Belgium,4,0.04
Austria,Japan,4,0.04
Algeria,Canada,4,0.04
Belgium,Norway,4,0.04
Iraq,Spain,4,0.04
Argentina,Haiti,4,0.04
Japan,Türkiye,3,0.03
Croatia,Paraguay,3,0.03
England,Senegal,3,0.03
Australia,Netherlands,3,0.03
Germany,Paraguay,3,0.03
Austria,Paraguay,3,0.03
Paraguay,Türkiye,3,0.03
Japan,Paraguay,3,0.03
IR Iran,Türkiye,3,0.03
Czechia,Portugal,3,0.03
Australia,Ecuador,3,0.03
Egypt,Netherlands,3,0.03
Egypt,Mexico,3,0.03
Brazil,Côte d'Ivoire,3,0.03
Scotland,Spain,3,0.03
Germany,Norway,3,0.03
Austria,Morocco,3,0.03
Argentina,Panama,3,0.03
Brazil,Panama,3,0.03
Austria,Germany,3,0.03
Ecuador,Korea Republic,3,0.03
Croatia,Japan,3,0.03
Australia,France,3,0.03
Senegal,Uruguay,3,0.03
Australia,Germany,3,0.03
Czechia,Spain,3,0.03
Morocco,Senegal,3,0.03
IR Iran,Paraguay,3,0.03
Belgium,Côte d'Ivoire,3,0.03
Germany,Korea Republic,3,0.03
Argentina,Congo DR,3,0.03
Canada,Uruguay,3,0.03
England,Norway,3,0.03
Algeria,Türkiye,3,0.03
Germany,United States,3,0.03
Netherlands,United States,3,0.03
Côte d'Ivoire,Morocco,3,0.03
Japan,United States,3,0.03
Japan,Norway,3,0.03
Australia,Canada,2,0.02
Canada,Côte d'Ivoire,2,0.02
Canada,Paraguay,2,0.02
France,Uzbekistan,2,0.02
Czechia,France,2,0.02
Austria,Norway,2,0.02
Senegal,Switzerland,2,0.02
Egypt,Norway,2,0.02
France,Panama,2,0.02
Australia,England,2,0.02
Switzerland,Uruguay,2,0.02
Egypt,Portugal,2,0.02
Norway,Uruguay,2,0.02
Australia,Japan,2,0.02
Côte d'Ivoire,Paraguay,2,0.02
Congo DR,Japan,2,0.02
Australia,Norway,2,0.02
Côte d'Ivoire,Germany,2,0.02
Congo DR,France,2,0.02
Netherlands,Scotland,2,0.02
Egypt,Germany,2,0.02
Côte d'Ivoire,Netherlands,2,0.02
Austria,Canada,2,0.02
Croatia,IR Iran,2,0.02
Australia,IR Iran,2,0.02
Brazil,Iraq,2,0.02
Spain,Uzbekistan,2,0.02
Switzerland,Türkiye,2,0.02
Korea Republic,Paraguay,2,0.02
Czechia,Mexico,2,0.02
Morocco,United States,2,0.02
France,United States,2,0.02
Korea Republic,Türkiye,2,0.02
Ecuador,Iraq,2,0.02
Côte d'Ivoire,Mexico,2,0.02
Brazil,Czechia,2,0.02
England,Scotland,2,0.02
Algeria,Austria,2,0.02
Egypt,Switzerland,2,0.02
Portugal,United States,2,0.02
Belgium,Senegal,2,0.02
Brazil,Scotland,2,0.02
IR Iran,Netherlands,2,0.02
Canada,Norway,2,0.02
Egypt,Japan,2,0.02
Croatia,Côte d'Ivoire,2,0.02
Argentina,Sweden,2,0.02
Austria,IR Iran,2,0.02
Norway,Senegal,2,0.02
Algeria,Switzerland,2,0.02
Canada,United States,2,0.02
Iraq,Morocco,2,0.02
Colombia,Panama,1,0.01
France,New Zealand,1,0.01
IR Iran,Iraq,1,0.01
Scotland,United States,1,0.01
Argentina,Bosnia and Herzegovina,1,0.01
Canada,Senegal,1,0.01
Colombia,Scotland,1,0.01
Canada,IR Iran,1,0.01
Switzerland,United States,1,0.01
Czechia,Japan,1,0.01
Austria,Türkiye,1,0.01
IR Iran,Norway,1,0.01
Belgium,Iraq,1,0.01
Croatia,United States,1,0.01
Iraq,Japan,1,0.01
Haiti,Portugal,1,0.01
Norway,Türkiye,1,0.01
Austria,Ecuador,1,0.01
Germany,Scotland,1,0.01
Belgium,Congo DR,1,0.01
Mexico,United States,1,0.01
Côte d'Ivoire,IR Iran,1,0.01
Algeria,Panama,1,0.01
Croatia,Korea Republic,1,0.01
Australia,Morocco,1,0.01
Korea Republic,Netherlands,1,0.01
Colombia,Tunisia,1,0.01
Netherlands,Paraguay,1,0.01
Czechia,Paraguay,1,0.01
Australia,Uruguay,1,0.01
England,Iraq,1,0.01
France,Saudi Arabia,1,0.01
Belgium,Sweden,1,0.01
Congo DR,Germany,1,0.01
Belgium,Panama,1,0.01
Austria,Uruguay,1,0.01
Congo DR,Portugal,1,0.01
Paraguay,Switzerland,1,0.01
Egypt,Senegal,1,0.01
South Africa,Spain,1,0.01
Argentina,New Zealand,1,0.01
Canada,Czechia,1,0.01
Brazil,Uzbekistan,1,0.01
Côte d'Ivoire,Senegal,1,0.01
France,Iraq,1,0.01
Japan,Scotland,1,0.01
Brazil,Egypt,1,0.01
Mexico,Panama,1,0.01
Mexico,Uzbekistan,1,0.01
Portugal,Saudi Arabia,1,0.01
Colombia,Uzbekistan,1,0.01
Spain,Sweden,1,0.01
Korea Republic,Uruguay,1,0.01
Paraguay,Senegal,1,0.01
IR Iran,United States,1,0.01
France,Scotland,1,0.01
Brazil,Tunisia,1,0.01
Argentina,Saudi Arabia,1,0.01
IR Iran,South Africa,1,0.01
Austria,Senegal,1,0.01
Côte d'Ivoire,England,1,0.01
United States,Uruguay,1,0.01
Mexico,South Africa,1,0.01
Croatia,Egypt,1,0.01
Argentina,Iraq,1,0.01
Uruguay,Uzbekistan,1,0.01
IR Iran,Uzbekistan,1,0.01
Bosnia and Herzegovina,France,1,0.01
Czechia,England,1,0.01
Croatia,Türkiye,1,0.01
Côte d'Ivoire,Japan,1,0.01
Korea Republic,Uzbekistan,1,0.01
Paraguay,United States,1,0.01
Congo DR,Spain,1,0.01
Türkiye,United States,1,0.01
Czechia,IR Iran,1,0.01
Korea Republic,Norway,1,0.01
Japan,Korea Republic,1,0.01
Colombia,Czechia,1,0.01
Argentina,Tunisia,1,0.01
Austria,Netherlands,1,0.01
Canada,Croatia,1,0.01
Argentina,South Africa,1,0.01
Norway,Scotland,1,0.01
Côte d'Ivoire,Portugal,1,0.01
Norway,Uzbekistan,1,0.01
Paraguay,Saudi Arabia,1,0.01
Algeria,Croatia,1,0.01
Mexico,Scotland,1,0.01
Austria,New Zealand,1,0.01
Belgium,Uzbekistan,1,0.01
Panama,Spain,1,0.01
Australia,Türkiye,1,0.01
Iraq,Paraguay,1,0.01
Norway,Switzerland,1,0.01
Croatia,Uruguay,1,0.01
Congo DR,Senegal,1,0.01
Panama,Portugal,1,0.01
Colombia,Congo DR,1,0.01
Morocco,Uzbekistan,1,0.01
Croatia,Senegal,1,0.01
Colombia,Haiti,1,0.01
